publication_id,source_type,reference_label,title,doi,pmid,patent_number,related_patent_numbers,year,access_note,record_count
PUB000102,journal_article,Weng-Lin2024,Targeting undruggable phosphatase overcomes trastuzumab resistance by inhibiting multi-oncogenic kinases,10.1016/j.drup.2024.101118,39094301,,,2024,,6
PUB000103,journal_article,Su2024,Small RNA activation of CDH13 expression overcome BCR-ABL1-independent imatinib-resistance and their signaling pathway studies in chronic myeloid leukemia,10.1038/s41419-024-07006-9,39179585,,,2024,,4
PUB000104,journal_article,Place2008,MicroRNA-373 induces expression of genes with complementary promoter sequences,10.1073/pnas.0707594105,18227514,,,2008,,5
PUB000105,journal_article,Li-Ge2017,Effects of miR-1236-3p and miR-370-5p on activation of p21 in various tumors and its inhibition on the growth of lung cancer cells,10.1177/1010428317710824,28631573,,,2017,,2
PUB000106,journal_article,Cai-Bai2024,Gene-Activating Framework Nucleic Acid-Targeted Upregulating Sirtuin-1 to Modulate Osteoimmune Microenvironment for Diabetic Osteoporosis Therapeutics,10.1021/acsnano.4c08727,39689347,,,2024,,1
PUB000107,journal_article,Yang2024,Cardiomyocyte βII spectrin plays a critical role in maintaining cardiac function by regulating mitochondrial respiratory function,10.1093/cvr/cvae116,38832923,,,2024,,2
PUB000108,journal_article,wing-Nam Chiu2026,Working So Hard: Double-Stranded RNAs That Can Perform Both Gene Activation and Gene Silencing,10.1002/cbic.70434,42376686,,,2026,,1
PUB000109,preprint,Yang-Guan2026,Ginsenoside Ro ameliorates diabetic cardiomyopathy by maintaining ciliary homeostasis and enhancing antioxidation,10.64898/2026.06.22.733885,,,,2026,,1
PUB000110,journal_article,Xu2026,Engineered biomimetic exosomes for small activating RNA delivery: Low-density lipoprotein receptor–related protein-1 targeted blood-brain barrier penetration and dual therapy in intracerebral Hemorrhage,10.1016/j.jconrel.2026.115112,42314989,,,2026,,1
PUB000111,journal_article,Huang2026,Overexpression of HIF-1α via small activating RNA enhances CAR-T cell function in hypoxic microenvironments,10.1016/j.phrs.2026.108235,42105819,,,2026,,5
PUB000112,journal_article,Yu2026,Biomimetic proteolipid vesicles delivering small activating RNA to activate the macrophage immunotherapy for the treatment of lung cancer,10.1186/s12951-026-04392-4,41992232,,,2026,,12
PUB000113,journal_article,Cao-Liu2023,Biomimetic Macrophage Membrane-Camouflaged Nanoparticles Induce Ferroptosis by Promoting Mitochondrial Damage in Glioblastoma,10.1021/acsnano.3c07555,37991252,,,2023,,3
PUB000114,patent,WO2020208361A1,SIRT1-saRNA compositions and methods of use,,,WO2020208361A1,EP3953473A1; US20220211740A1,2020,,27
